Year,Production,Usage
1960,4998,4738
1961,5127,5050
1962,5296,5048
1963,5400,5500
1964,5739,5995
1965,6059,6193
1966,6324,6445
1967,6004,6195
1968,6653,6523
1969,7212,7137
1970,7592,7291
1971,7404,7296
1972,8100,7942
1973,8544,8740
1974,8759,8310
1975,8187,7445
1976,8632,8539
1977,8884,9057
1978,9030,9527
1979,9200,9848
1980,9261,9396
1981,9573,9522
1982,9319,9090
1983,9541,9510
1984,9440,9930
1985,9616,9798
1986,9920,10112
1987,10148,10293
1988,10512,10668
1989,10908,11081
1990,10805,10886
1991,10686,10563
1992,11042,10866
1993,11274,10992
1994,11118,11560
1995,11817,12043
1996,12628,12489
1997,13425,13082
1998,14032,13440
1999,14576,14223
2000,14793,15122
2001,15638,14938
2002,15354,15133
2003,15272,15641
2004,15918,16743
2005,16572,16552
2006,17288,16917
2007,17895,18026
2008,18191,17877
2009,18234,17870
2010,18981,19136
2011,19601,19709
2012,20194,20479
2013,21058,21408
2014,22490,22906
2015,22838,23046
2016,23356,23481
2017,23561,23686
2018,24104,24466
2019,24159,24321
2020,24663,24945
2021,24958,25204
2022,25664,26069
